,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
23,https://amazon.com/dp/B09MFJFK28,B09MFJFK28,PFLife White Bathroom Accessories Set of 4 Polyresin Bamboo Lotion Soap Dispenser Toothbrush Holder Tumbler Soap Dish Bathroom Accessory Set,PFLife,FBM,Home & Kitchen,1273407,Bathroom Accessory Sets,49.98,,5,-103.0,249.9,45,4.6,PFLife,1,307.0,,Large Standard-Size,6.34,8.66,11.3,2.47,,,06/01/2022,17,6,2,0.11
24,https://amazon.com/dp/B09KP74L5X,B09KP74L5X,"BASDHE Bathroom Accessories Set, 5-Piece Ceramic Gift Set, Toothbrush Holder, Toothbrush Cup, soap Dispenser, soap Dish, Trash can (Blue)",BASDHE,FBA,Home & Kitchen,952813,Bathroom Accessory Sets,65.98,,5,0.0,329.9,2,4.4,BASDHE,0,,,,,,,,,,05/01/2023,-,9,0,2.5
25,https://amazon.com/dp/B07XDMYGW6,B07XDMYGW6,"Willow&Ivory Bathroom Accessories Set | 4 Piece, Ceramic Bath Set | Toothbrush Holder, Soap Dispenser, Soap Dish & Tumbler | White Oak Collection",Willow&Ivory,FBM,Home & Kitchen,648149,Bathroom Accessory Sets,45.99,64.0,1,50.0,45.99,168,4.6,Zhan-Dou,1,6.0,-99.0,Large Standard-Size,7.76,10.94,13.19,2.8,,,07/01/2021,46,7,0,0.01
26,https://amazon.com/dp/B09T76F9F3,B09T76F9F3,"RXLVCKY Grey Bathroom Accessories Set, 5-Piece Ceramic Gift Set, Include Toothbrush Holder, Toothbrush Cup, soap Dispenser, soap Dish, Trash can",RXLVCKY,FBA,Home & Kitchen,4043791,Bathroom Accessory Sets,73.98,,1,0.0,73.98,1,5.0,Lucky Bath,0,2.0,,,,,,,,,04/01/2022,16,9,0,1.0
27,https://amazon.com/dp/B085TR1QX8,B085TR1QX8,"3-Piece Bath Accessory Set, Thebes Porcelain Lotion Dispenser, Tumbler, Soap Dish",TurkishTowels,FBM,Home & Kitchen,3446301,Bathroom Accessory Sets,134.99,,0,0.0,0.0,1,5.0,Turkish towels,1,2.0,-80.0,,,,,,,,08/01/2021,38,4,14,0.0
28,https://amazon.com/dp/B07JHRMX8T,B07JHRMX8T,"Willow&Ivory™ Bathroom Accessories Set | 5 Piece, Ceramic Bath Set | Toothbrush Holder, Soap Dispenser, Soap Dish, 2 Tumblers | Marble Collection",Willow&Ivory,FBM,Home & Kitchen,1069940,Bathroom Accessory Sets,49.99,,1,-33.0,49.99,433,4.6,FlameerUS,1,74.0,-82.0,Large Standard-Size,5.04,10.91,14.65,4.41,,,08/01/2021,56,7,0,0.0
29,https://amazon.com/dp/B09MFKYBWX,B09MFKYBWX,PFLife Black Bamboo Bathroom Accessories Matte Set of 4 Polyresin Lotion Soap Dispenser Toothbrush Holder Tumbler Soap Dish Bathroom Accessory Set,PFLife,FBA,Home & Kitchen,1273407,Bathroom Accessory Sets,48.95,30.0,5,-103.0,244.75,45,4.6,PFLife,1,307.0,,Large Standard-Size,6.26,8.7,11.18,2.69,243.13,845.67,06/01/2022,17,7,2,0.11
30,https://amazon.com/dp/B091PL2G4S,B091PL2G4S,"A 3-Piece terrazzo Bathroom Set, Including terrazzo soap Dispenser, soap Dish, Toothbrush Holder, Home Bathroom Decoration (Pink)",zhanwang,FBM,Home & Kitchen,3083657,Bathroom Accessory Sets,59.9,-10.0,0,0.0,0.0,4,5.0,ZhanWang Home,1,2.0,-67.0,,,,,,,,08/01/2021,26,8,4,0.0
31,https://amazon.com/dp/B087CLL1W8,B087CLL1W8,Magcolor Glass Jar Bathroom Accessories Set - Hand Soap Dispenser and Qtip Holder Set 3 pc,Magcolor,FBM,Home & Kitchen,2082392,Bathroom Accessory Sets,56.83,-6.0,0,0.0,0.0,97,4.6,Ruiconvenient,1,,,Large Standard-Size,6.65,10.08,10.16,3.66,,,01/01/2022,37,7,0,0.0
32,https://amazon.com/dp/B08T153KFG,B08T153KFG,"MIUFA Bathroom Set 4 Pcs Line Textured Dark Brown Ceramic,Soap Dish, Soap Dispenser, Toothbrush Holder &Tumbler for Bath Decor",MIUFA,FBM,Home & Kitchen,5460609,Bathroom Accessory Sets,79.99,-3.0,0,0.0,0.0,1,5.0,MIUFA,1,,,Large Standard-Size,4.57,10.47,12.52,2.12,,,10/01/2021,29,7,0,0.0
