,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
34,https://amazon.com/dp/B08ZSGF9H5,B08ZSGF9H5,LTCTL Dispenser Pump Walnut Wood Soap Dispenser with Stainless Steel Pump Head Manual Pump Dispenser 4-Piece Bathroom Set Counter Top 200ml/6.7oz soap Pump (Color : 1pcs soap Dispenser),LTCTL,FBM,Home & Kitchen,5730516,Countertop Soap Dispensers,43.0,-2.0,0,0.0,0.0,,,Eivis,2,1.0,,,,,,,,,05/01/2023,25,7,2,
35,https://amazon.com/dp/B08YX5HKCS,B08YX5HKCS,Kitchen soap Dispenser Natural Marble Soap Dispenser Green Lotion Dispenser with Copper Pump Luxury Bathroom Accessories Bath Set for Bathroom 3.3oz soap Pump (Color : Tumbler),WUHE,FBM,Home & Kitchen,6526534,Countertop Soap Dispensers,65.65,,0,,0.0,,,JIEJIEBOBO,1,,,,,,,,,,-,-,7,0,
36,https://amazon.com/dp/B0B96VM48G,B0B96VM48G,"Soap Dispenser for Bathroom Mosaic Bathroom Accessories Set - 6 Pieces Ceramic Bath Accessory Sets Soap Dispenser Toothbrush Holder Mouthwash Cup Soap Dish and Tray, Gold Rim Kitchen Soap Dispenser",TOMYEUS,FBM,Home & Kitchen,6382791,Countertop Soap Dispensers,131.25,,0,,0.0,,,liujinegmg,1,,,,,,,,,,04/01/2023,-,6,0,
37,https://amazon.com/dp/B0B6HVRCF7,B0B6HVRCF7,HvOvMvE 4 in 1 Dish Soap Dispenser Set and Mason Jar Soap and Lotion Dispenser Set （Silver） for Kitchen Bathroom,HvOvMvE,FBA,Home & Kitchen,2478417,Countertop Soap Dispensers,42.99,,4,,171.96,,,HvOvMvE,0,,,,,,,,,,05/01/2023,-,9,0,
38,https://amazon.com/dp/B0BSGVNRJX,B0BSGVNRJX,"Secura 17oz Automatic Liquid Soap Dispenser, Touchless Battery Operated Hand Soap Dispenser with Adjustable Soap Dispensing Volume Control Dial Set (2pc)",Secura,FBA,Home & Kitchen,1288519,Countertop Soap Dispensers,57.99,,25,291.0,1449.75,,,Lafraise,0,,,,,,,,,,05/01/2023,-,9,0,
39,https://amazon.com/dp/B0B6FLM3NS,B0B6FLM3NS,HvOvMvE 4 in 1 Dish Soap Dispenser Set and Mason Jar Soap and Lotion Dispenser Set (Black) for Kitchen Bathroom,HvOvMvE,FBA,Home & Kitchen,2824686,Countertop Soap Dispensers,43.99,,2,233.0,87.98,,,HvOvMvE,0,,,,,,,,,,05/01/2023,11,9,0,
40,https://amazon.com/dp/B091F46JF6,B091F46JF6,Dispenser Pump Walnut Wood Soap Dispenser with Stainless Steel Pump Head Manual Pump Dispenser 4-Piece Bathroom Set Counter Top 200ml/6.7oz Lotion Dispenser (Color : 1pcs soap Dispenser),HMEI,FBM,Home & Kitchen,6259263,Shower Dispensers,43.61,1.0,0,0.0,0.0,,,WOMENSABAIHUO,2,,,,,,,,,,05/01/2022,26,7,2,
41,https://amazon.com/dp/B08MYHVPFR,B08MYHVPFR,Lotion Dispensers Cute Monkey 5pcs Bathroom Accessories Set - with Toothbrush Holder Soap Dispenser Soap and Lotion Distributor Tumbler Cup soap Dispenser,LJXLXY,FBM,Home & Kitchen,4236408,Bathroom Accessory Sets,105.93,31.0,0,0.0,0.0,,,Adelaide stro,1,3.0,,,,,,,,,02/01/2023,30,7,0,
42,https://amazon.com/dp/B0BQN9TZ2M,B0BQN9TZ2M,"Dash of Mountain Bathroom Accessory Set – Bathroom Soap Dispenser and Toothbrush Holder Set – Bathroom Accessories Sets Complete with Toothbrush Holder, Soap Dispenser, Soap Dish, Vanity Cup",Generic,FBA,Home & Kitchen,3881115,Bathroom Accessory Sets,34.99,,0,-63.0,0.0,,,Dash of Mountain,1,,,Large Standard-Size,3.9,8.27,8.31,2.34,107.02,372.25,04/01/2023,6,5,0,
43,https://amazon.com/dp/B0C1YM6YLF,B0C1YM6YLF,"Bathroom Accessories Set 5 PCS, White Ceramic Bathroom Soap Dispenser Set, Toothbrush Holder, Toothbrush Cup, Soap Dish, Soap Dispenser - for Home, Hotel Countertop (5 Pieces White)",GENDLTHIJ,FBA,Home & Kitchen,447408,Bathroom Accessory Sets,29.99,-22.0,6,,179.94,,,OUYEE,1,,,Large Standard-Size,5.47,7.8,9.72,2.86,165.65,576.16,06/01/2023,-,6,3,
44,https://amazon.com/dp/B08BJ2DDK3,B08BJ2DDK3,"XDKQ Bathroom Acessories Set Brushed Nickel Pump,5-Piece Soap Dispenser Set Includes Soap Dispenser,Soap Dish,Tumbler,Toothbrush Holder,Ceramic Material,Chrome,with Tray",XDKQ,FBM,Home & Kitchen,7388839,Bathroom Accessory Sets,92.89,,0,0.0,0.0,,,XDKQ,1,,,,,,,,,,-,25,6,2,
