"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B097MZB86N","B097MZB86N","MaisoNovo Glass Soap Dispenser with Pump | Vintage Soap Dispenser Bathroom and Kitchen Soap Dispenser Set with Dish Soap, Hand Soap, Lotion Waterproof Labels | Amber Bottles Black Pumps - Set of 2","MAISONOVO","FBA","Home & Kitchen",7846,"Countertop Soap Dispensers",39.7,5,2833,-72,112470.1,1764,4.3,"MaisoNovo",1,69992,"N/A","Large Standard-Size",4.69,8.62,9.96,3.2,160.78,559.25,"02/01/2022",21,7,6,1.61
"https://amazon.com/dp/B09Y8W3538","B09Y8W3538","2 Pack Kitchen Soap Dispenser Set with Bamboo Tray, Glass Soap Dispenser Pump, Hand and Dish Soap Dispenser Set for Bathroom, Refillable Lotion Dispenser Sanitizer Shampoo Conditioner Labels (Black)","OPTVIT","FBA","Home & Kitchen",1838301,"Countertop Soap Dispensers",38.99,19,0,0,0,11,3.2,"bestiu",1,"N/A","N/A","Large Standard-Size",4.84,7.87,8.94,1.79,135.98,472.96,"09/01/2022",10,7,0,0
"https://amazon.com/dp/B0BYJ3T9MV","B0BYJ3T9MV","Kitchen Soap Dispenser Set with Ceramic Tray Stainless Steel Pump,16oz Glass Dish Soap Hand Soap Dispenser Modern Soap Dispenser Bathroom Set with Waterproof Labels (White Bottles +Gold Pumps)","Zouzuqife","FBA","Home & Kitchen",119591,"Countertop Soap Dispensers",32.99,18,54,,1781.46,28,4.6,"Zouzuqife",1,"N/A","N/A","Large Standard-Size",3.98,9.61,9.76,2.61,149.06,518.47,"06/01/2023",2,6,6,1.93
"https://amazon.com/dp/B009FBFOIS","B009FBFOIS","Kitchen Soap Dispenser Set with Ceramic Tray Stainless Steel Pump,16oz Glass Dish Soap Hand Soap Dispenser Modern Soap Dispenser Bathroom Set with Waterproof Labels (Amber Bottles +Gold Pumps)","Zouzuqife","FBA","Home & Kitchen",70964,"Countertop Soap Dispensers",32.99,46,43,-17,1418.57,28,4.6,"Zouzuqife",1,"N/A","N/A","Large Standard-Size",3.98,9.57,9.72,2.71,147.83,514.2,"03/01/2023",5,6,6,1.54
"https://amazon.com/dp/B0BLBW2T6X","B0BLBW2T6X","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Amber Bottles with Copper Pumps)","Volisnova","FBA","Home & Kitchen",711554,"Countertop Soap Dispensers",31.9,-5,20,-74,638,11,4.6,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.65,8.74,11.85,3.17,192.3,668.88,"04/01/2023",3,7,5,1.82
"https://amazon.com/dp/B0BL7FWCYW","B0BL7FWCYW","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Gold Pumps)","Volisnova","FBA","Home & Kitchen",427100,"Countertop Soap Dispensers",31.9,-3,91,21,2902.9,15,4,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.61,8.74,11.77,3.15,189.36,658.65,"05/01/2023",5,7,5,6.07
"https://amazon.com/dp/B0BL7VQF6L","B0BL7VQF6L","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Clear Bottles with Gold Pumps)","Volisnova","FBA","Home & Kitchen",317343,"Countertop Soap Dispensers",31.9,-20,43,-3,1371.7,9,4.5,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.65,8.78,12.05,3.2,196.44,683.29,"04/01/2023",5,7,5,4.78
"https://amazon.com/dp/B0BL7HR7JM","B0BL7HR7JM","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Silver Pumps)","Volisnova","FBA","Home & Kitchen",185031,"Countertop Soap Dispensers",31.9,-18,77,66,2456.3,15,4,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.57,8.66,11.93,3.09,188.53,655.76,"05/01/2023",5,7,5,5.13
"https://amazon.com/dp/B0BLBSQ9Y8","B0BLBSQ9Y8","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Frosted Bottles with Black Pumps)","Volisnova","FBM","Home & Kitchen",277604,"Countertop Soap Dispensers",31.9,-10,83,54,2647.7,15,4,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.61,8.7,11.73,3.06,"N/A","N/A","05/01/2023",5,7,5,5.53
"https://amazon.com/dp/B0BL873XF1","B0BL873XF1","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Clear Bottles with Black Pumps)","Volisnova","FBA","Home & Kitchen",711554,"Countertop Soap Dispensers",31.9,-4,19,-72,606.1,11,4.6,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.61,8.78,11.93,3.09,192.82,670.66,"04/01/2023",4,7,5,1.73
